link,headline,category,short_description,author,date,text
https://www.huffpost.com/entry/ukraine-russia-immigration-republicans_n_654a4ef4e4b0e63c9dc10814,Republicans Hold Ukraine Aid Hostage Over Donald Trump's Border Wall,Politics,"The GOP is also demanding sharp limits on who is eligible for asylum in the U.S., which Democrats have already called a non-starter.",Igor Bobic,2023-11-07 00:00:00, are threatening not to approve additional u s support for unless agree to a whole host of immigration law changes as well as the resumed construction of s wall on the u s mexico border a group of senate republicans on monday released tightening immigration enforcement and putting sharp limits on who is eligible for asylum in the u s measures they said are aimed at securing the border and stemming the flow of migrants immediately gop leaders have said that democrats need to agree to some sort of concessions on the border in exchange for their support for billions of dollars for ukraine israel and other national security priorities as requested by president joe biden s administration though some republicans in congress support aid for ukraine including senate minority leader mitch mcconnel r ky many in his party flatly oppose further assistance for the country despite its yearslong struggle against russian aggression democrats immediately rejected the gop s border demands however putting into further doubt continued u s assistance for ukraine making ukraine aid conditional on hard right border policies that can t even pass in congress is a huge mistake by our republican colleagues by tying ukraine to the border republicans are sadly making it harder much harder to help ukraine senate majority leader chuck schumer d n y warned on tuesday sen dick durbin ill the no 2 senate democrat noted that the gop proposal included a provision that would end relief for ukrainians afghans and others who have found refuge in the united states while sen alex padilla d calif said it would eviscerate our asylum system endangering families and children fleeing violence and persecution and it would force construction of an ineffective and damaging border wall congress has struggled to reform the nation s immigration laws for decades and it s hard to see lawmakers working out a major compromise on border issues now particularly on the edges of a broader emergency spending package under the gop proposal which looks similar to a bill house republicans passed earlier this year migrants would be ineligible for asylum if they transited through a third country without seeking refuge there before reaching the u s migrants would only be allowed to request protection at official ports of entry and in a major change migrants fleeing persecution who are seeking asylum would need to meet a higher evidentiary threshold to avoid being quickly deported democrats have signaled they would be open to making some changes including on asylum and parole but they stressed that they d push for things in return including a pathway to citizenship for dreamers the injection of a perennially divisive issue immigration into the simmering debate over ukraine could make things even harder for congress to pass anything or as sen chris murphy d conn a congressional dealmaker who has been hearing out republicans on their border ideas put it it would be like successfully making a triple bank shot in a pool game 
https://www.huffpost.com/entry/kim-reynolds-ron-desantis-donald-trump_n_654a61fce4b0e63c9dc11a16,Iowa Gov. Kim Reynolds Doesn’t Think Trump Can Win 2024 Election,Politics,"“I believe he can’t win, and I believe Ron [DeSantis] can,” Reynolds said Monday.",Liz Skalka,2023-11-07 00:00:00,reynolds views on trump s chances notwithstanding a new york times siena college survey released sunday showed trump polling ahead of biden in 
https://www.huffpost.com/entry/rachel-maddow-trump-testimony_n_654a3157e4b0e63c9dc0f129,Rachel Maddow Says Trump’s ‘Chaotic’ Testimony Reflects A Sinister Legal Strategy,Politics,"The MSNBC host said Trump’s “out-of-control” ramblings might not help his case, but they serve a purpose.",Josephine Harvey,2023-11-07 00:00:00, s said s chaotic rambling non sequitur out of control insulting testimony on monday may not help with his case but it does make a mockery of the legal system on the witness stand the former president repeatedly with the judge overseeing his 250 million civil fraud trial in new york criticizing the case as a witch hunt and the prosecutor leading it as a political hack at one point judge arthur engoron reprimanded trump saying this is not a political rally maddow said trump s behavior was an attempt to denigrate and discredit and delegitimize not just this case against him and his company but the whole legal system it makes sense right the host said when your legal troubles include a couple of huge civil cases and 91 felony criminal counts against you one way to fight that is to fight each case on its substance the easier path though the more efficient path is just to run against the legal system she continued to tell your followers that the american legal system the american system of justice and law enforcement and the judiciary and the court it s all illegitimate trump faces four criminal indictments tied to his handling of classified documents his attempted coup his efforts to overturn the 2020 election in georgia and a 2016 hush money payment to porn actor stormy daniels the new york attorney general s lawsuit accuses him of inflating his wealth and property values to obtain more favorable terms from lenders and insurers engoron already found him liable for fraud in a pre trial ruling 
https://www.huffpost.com/entry/ehud-barak-israel-hamas-war_n_654a447ee4b0e3ecaf8af17c,Ex-Israel Prime Minister Warns U.S. Support For War Effort Could Run Out In Weeks,World News,"“It’s clear we are heading towards friction with the Americans about the offensive,"" Ehud Barak told Politico.",Marita Vlachou,2023-11-07 00:00:00,former israeli prime minister ehud barak is warning that is running out of time before its allies most notably the u s sour on its war effort against the militant group published monday barak said while the biden administration cannot dictate israel on how to move forward following the brutal and unprecedented oct 7 attack by hamas israel won t be able to ignore calls for more restraint as the palestinian civilian death toll continues to rise in gaza gaza s health ministry on monday said have been killed since the conflict started including over 4 000 minors you can see the window is closing barak said it s clear we are heading towards friction with the americans about the offensive barak added that western governments are increasingly concerned over the possibility of the war spreading into a wider conflict in the middle east and also worried about the fate of their kidnapped citizens that remain in hamas custody we are losing public opinion in europe and in a week or two we ll start to lose governments in europe he said and after another week the friction with the americans will emerge to the surface while the u s has so far refused to join calls for a cease fire it has been pushing for a with secretary of state antony blinken we need to do more to protect palestinian civilians during his latest visit to tel aviv israeli prime minister benjamin netanyahu monday a cease fire will only be possible once hamas releases all hostages but did not rule out small pauses to allow humanitarian aid to reach those in need as far as tactical little pauses an hour here an hour there we ve had them before i suppose we ll check the circumstances in order to enable goods humanitarian goods to come in or our hostages individual hostages to leave he said despite the challenges of israel s military operation barak said it was necessary for israel to mount a strong response to the oct 7 massacre that killed over 1 400 israelis to ensure that it never happens again as questions remain about what the future holds for gaza once the war is over barak downplayed the possibility of a two state solution given the deep distrust on both sides but he said a multinational arab coalition with the support of the u n security council could be put together to oversee gaza for a few months before handing control over to the palestinian authority netanyahu however said his country for an indefinite period will have the overall security responsibility of gaza without including any further details about what that would look like when we don t have that security responsibility what we have is the eruption of hamas terror on a scale that we couldn t imagine netanyahu added 
https://www.huffpost.com/entry/neal-katyal-donald-trump-testimony_n_654a1046e4b0e3ecaf8abced,Ex-DOJ Official Says ‘1 Key Thing Missing’ From ‘Rude’ Donald Trump’s Testimony,Politics,"Murderers have behaved better than the ex-president in court, said former acting solicitor general Neal Katyal.",Lee Moran,2023-11-07 00:00:00,obama era acting solicitor general neal katyal said covered a lot of ground with his attacks on lawyers new york attorney general letitia james and judge arthur engoron while taking the stand in his civil fraud trial in new york on monday but for all of his attacks there was one key thing missing from trump s testimony which is any semblance of a colorable defense and that is donald trump through and through katyal told s charles coleman it s bloviating it s a distraction and the like and that s why you say this kind of crazy the antics and behavior katyal added katyal said trump was not acting like any litigant i have ever seen in any courtroom let alone someone who s a former high ranking government official trump was rude he was obnoxious he was trying to provoke the judge he continued i have represented murderers and white collar criminals i have never seen anyone behave like this in a courtroom they respect the court and the process the former president however was successful today by his metric because we re talking more about his behavior and his temper tantrums than we are about the fact that the guy committed serious fraud so it s a distraction technique and in some ways it s working it obviously won t work in the court of law though 
https://www.huffpost.com/entry/michael-cohen-donald-trump-document-civil-fraud-trial_n_654a1e0ee4b0e3ecaf8acf69,Michael Cohen Produces Old Trump Document To Make Damning Point About Ex-Boss,Politics,"“He does the same thing over and over and over,” said the ex-president’s former right-hand man.",Lee Moran,2023-11-07 00:00:00,former attorney and fixer michael cohen on monday held up a document live on which he claimed showed how little the former president s tactics have changed over the years cohen told anchor jen psaki that he discovered the decade old note which appeared to feature trump s handwriting in a drawer psaki noted it hadn t been independently verified by msnbc the note read obama reps is sic using lightweight new york state attorney general eric schneiderman to target political enemies trump frequently attacked schneiderman over the then attorney general s office s lawsuit against his eponymous trump university trump agreed to pay to former program students he does the same thing over and over and over cohen said during a discussion about trump s civil fraud trial new york attorney general letitia james alleges trump and his business overvalued assets to cut deals and score loans from banks cohen added all you have to do is remove eric schneiderman s name from it put it into letitia james or put it into jack smith or put it into anyone it s the same language over and over 
https://www.huffpost.com/entry/betty-connor-bowman-may-clinic-poison-murder-charge_n_654021e6e4b0ae2dc0b4dbcd,A Poison Control Specialist Is Charged With Fatally Poisoning His Wife,Crime,"Dr. Connor Bowman, a former Mayo Clinic resident who advised callers to a poison control center, has been charged with second-degree murder in the sudden death of his wife, Betty Bowman, in August.",Drusilla Moorhouse,2023-11-07 00:00:00,when mayo clinic pharmacist betty bowman suddenly became ill it looked like a case of food poisoning the 32 year old was admitted to mayo clinic s st marys hospital in rochester minnesota on aug 16 with severe gastrointestinal distress and dehydration and she d mentioned to a friend that she started feeling sick after drinking a smoothie but in spite of the care at the prestigious institution her condition rapidly deteriorated affecting her heart lungs and vital organs she died aug 20 and her obituary noted a sudden onset of an autoimmune disease two months later however investigators said they d determined that she actually had been poisoned and not by a bad smoothie her 30 year old husband dr connor bowman was charged with second degree murder on oct 23 after investigators said he gave her a lethal dose of an obscure drug and then allegedly attempted to divert suspicion by modifying her medical records trying to halt her autopsy and pushing for an immediate cremation of her remains connor was then a resident at mayo clinic but also worked remotely for the university of kansas health system his role advising callers to a poison control center the couple had been married just over two years when betty became ill and according to a woman who called the southern minnesota medical examiner s office all was not well in their marriage she said the bowmans were talking about divorce in the wake of infidelity and a deteriorating relationship according to a criminal complaint obtained by huffpost on aug 21 the medical examiner s office halted a cremation order for betty based on the possible suspicious circumstances of her death and contacted the rochester police department it was her husband who had originally requested that she be cremated immediately according to the complaint connor told the medical examiner s office that betty didn t want to be a cadaver investigators said and he insisted without evidence that she suffered from sudden onset hemophagocytic lymphohistiocytosis or hlh the diagnosis that was referenced in the first line of her obituary based on connor s suggestion tests had been performed at the hospital for hlh but the results were inconclusive investigators said betty had not been diagnosed with hlh or any other disease and one of her friends described her as a healthy person investigators said another test however confirmed that colchicine a drug mainly used to treat gout was present in her system shortly after her hospitalization investigators said in the complaint she did not have gout and was not prescribed colchicine either before or while she was in the hospital authorities said the medical examiner later determined that betty had died from toxic effects of colchicine and ruled her death a homicide even as the criminal investigation was taking shape many people believed that betty s death although mystifying was natural and connor and her loved ones received an outpouring of support from those whose lives she d touched in online condolences and tributes posted on facebook and a gofundme page betty a kansas native who loved rainbows was remembered for her adventurous spirit her cheery demeanor the skill and compassion she brought to her work as a pharmacist and her devotion to her fur baby a corgi named sir crumpet ii of mulberry guests at the celebration of life service for betty who supported the lgbtq community were encouraged to wear rainbow pride corgi themed attire and donate to a trevor project fundraiser launched in august by connor in lieu of gifts or flowers betty will be dearly missed by her pharmacy family at mayo one co worker wrote on aug 27 on a funeral home website she brought a positive upbeat attitude into every situation and her kind heart was always open to helping others she left a lasting impact on everyone who had the pleasure of working with her in a condolence message from aug 24 another person said betty really did live life to its fullest she was an inspiration and she would want all of her loved ones to continue living life to its fullest like she did she really was a truly special beautiful generous thoughtful kind loving adventurous one of a kind person she was the best of us the couple s onetime dog walker who was recently interviewed by wichita s kake news celebrated both bowmans in an aug 24 message i will never forget the days of talking to connor about his proposal plans and how excited and truly happy he was to propose to such an amazing woman karlee ward wrote calling betty a caring and generous ray of sunshine who loved laughing about crumpet s crazy antics while connor was receiving support and sympathy from both his and betty s friends and relatives the woman who called the medical examiner s office to express her suspicions wasn t the only one who believed he might have played a role in his wife s death according to the criminal complaint another woman told investigators that the bowmans had separate bank accounts because of connor s debt and that connor had said he would be receiving a 500 000 life insurance payout from betty s death which he told her was caused by hlh according to the complaint investigators said they found a bank deposit receipt for 450 000 while searching his house after his arrest one friend told investigators that he had hung out with betty the night before her death saying she later texted him that she was drinking at home with connor according to the complaint the friend said that betty had also texted him the next morning to say she was so ill that she had not slept at all and that she believed something mixed into a large smoothie had made her sick according to investigators connor had used his hospital credentials to access betty s electronic health record and monitor her treatment throughout her hospitalization an investigator said in the complaint three days after her death he modified her health record the investigator said citing data found from a search warrant and he continued to track it until aug 31 in response to questions by huffpost a spokesperson for mayo clinic said that connor s resident training ended in early october but declined to elaborate on the circumstances or confirm whether that date had been previously planned the charge against him the spokesperson said was unrelated to his mayo clinic responsibilities connor worked for six years throughout medical school and during his residency as a poison specialist in the poison control center at the university of kansas health system a spokesperson confirmed to huffpost adding the last three years he worked remotely as needed prn answering calls from the public to the poison control center after connor s electronic devices were seized by investigators including the university issued laptop he used for his work at the poison control center a ku med employee contacted authorities saying connor had notified them that he no longer had access to the computer because he was a suspect in betty s death according to the criminal complaint the employee told police that ku med staff members were able to view the internet search history on connor s laptop including during his shifts on aug 5 6 and 10 authorities said despite the poison control center not receiving calls about colchicine on the days connor worked a ku med staff member said his laptop was used to research the drug on aug 10 a medical journal was searched for information about lethal levels of different substances and a lethal dosage rate for the weight of a person equivalent to betty s according to investigators other searches made on the laptop included police track package delivery delete amazon data police and internet browsing history can it be used in court the complaint states stripe an online payment platform had been used on the laptop around the time that searches were being conducted about purchasing liquid colchicine according to the complaint five days after the last search investigators said betty was admitted to the hospital the second degree murder charge carries a maximum sentence of 40 years according to the criminal complaint and connor s bail was set at 5 million or 2 million with conditional terms like wearing a gps monitor his attorney michael schatz requested his bail be reduced in a hearing on wednesday in olmsted county district court which a judge denied connor is expected to enter a plea at a hearing scheduled for jan 16 in olmsted county schatz did not respond to a request for comment from huffpost betty s best friend sarah leeser who organized the gofundme wrote updates there and on facebook after connor s arrest saying she was heartbroken and livid many of you know that i lost my closest friend in august of this year she said at first we thought she passed from a rare autoimmune disorder however more information is coming to light to suggest she was purposefully murdered she noted on gofundme that betty s family who live in kansas would likely now incur legal and travel expenses as the court proceedings play out in minnesota betty we miss you poison was not the way you were supposed to go brianna stockemer betty s sister wrote in an oct 25 facebook post i don t understand why connor did this you were so perfect patient and understanding to him connor why did you take her away from all of us 
https://www.huffpost.com/entry/john-fetterman-gavin-newsom-president_n_6549f985e4b0e63c9dc0b431,John Fetterman Reportedly Calls Out Gavin Newsom At Iowa Democrats’ Dinner,Politics,"The Pennsylvania senator accused the California governor of running for president but not having “the guts to announce it,” according to NBC News.",Josephine Harvey,2023-11-07 00:00:00,sen d pa on saturday accused california gov d of quietly gunning for the white house according to there are two additional running for president right now fetterman reportedly told attendees at an iowa dinner one is a congressman from minnesota the other one is the governor of california but only one has the guts to announce it rep dean phillips d minn a long shot challenge to biden last month newsom was widely considered a potential democratic presidential candidate but he has repeatedly put speculation to rest and nonetheless newsom has been dogged by chatter that he plans to run if not in 2024 then in 2028 vivek ramaswamy the biotech entrepreneur running for the republican presidential nomination made a similar suggestion to fetterman last month in iowa the man is running for president doing it and doing it in disguise doing it with a track record state that is more disastrous by the day he said a spokesperson for newsom did not immediately return a request for comment several prominent that democrats want to secretly replace biden with newsom or former first lady michelle obama as the nominee the biden campaign has dismissed the claims as blatantly false conspiracy theories newsom about his intentions when he agreed to debate florida gov ron desantis a republican presidential candidate on fox news later this month he drew renewed scrutiny after with chinese president xi jinping newsom s second term as governor expires in 2027 he the san francisco chronicle last year he has sub zero interest in running for president and believes vice president kamala harris should be the next president after biden 
https://www.huffpost.com/entry/jack-smith-trump-jan-6-case_n_654a14f0e4b0e63c9dc0cd3b,Jack Smith Opposes Trump’s Efforts To Get Federal Election Interference Case Tossed Out,Politics,"The special counsel’s team argued that the Jan. 6, 2021, insurrection was “the culmination” of Trump’s scheme to undo Joe Biden’s 2020 win.",Marita Vlachou,2023-11-07 00:00:00,special counsel jack smith s team on monday forcefully rejected former president s efforts to get his federal election interference case thrown out in a series of court filings monday trump who has denied wrongdoing has sought to get the four criminal charges he faces for his scheme to undo s win in the 2020 presidential contest dismissed using various legal arguments the trial has been scheduled for march james pearce a prosecutor for smith took issue with the former president s claim that the case should be dismissed on constitutional and statutory grounds calling his challenges meritless pearce wrote in a 79 page filing the defendant attempts to rewrite the indictment claiming that it charges him with wholly innocuous perhaps even admirable conduct sharing his opinions about election fraud and seeking election integrity when in fact it clearly describes the defendant s fraudulent use of knowingly false statements as weapons in furtherance of his criminal plans specifically one of trump s arguments has been that the first amendment protects his election falsehoods the first amendment does not protect fraudulent speech or speech otherwise integral to criminal conduct particularly crimes that attack the integrity and proper function of government processes the prosecutor said pearce added that trump s claim that smith has failed to allege deceit because none of the public officials his lies were targeted at would have been fooled by his words are misguided were it otherwise defendants captured en route to a bank robbery could not be charged with conspiracy because their crime did not succeed indeed a conspiracy can be committed even if the object of the conspiracy is unattainable pearce said in his effort to avoid potential accountability for his jan 6 actions trump s team claimed he was singled out even though he is far from the first candidate to work with others to suggest an alternate slate of electors they specifically cited what they described as similar efforts by candidates in seven u s elections ranging from 1800 to 2016 president trump is the first person to face criminal charges for such core political behavior as disputing the outcome of an election his lawyers said but prosecutors disagreed saying prior electoral disputes in the history of the u s cannot justify trump s corrupt conduct notably absent from any of these historical episodes however is any attempt by any person to use fraud and deceit to obstruct or defeat the governmental function that would result in the certification of the lawful winner of a presidential election prosecutors said meanwhile in another motion prosecutors tackled trump s attempt to remove allegations regarding his actions leading up to the jan 6 2021 insurrection from the indictment prosecutors said while trump is trying to evade responsibility for the capitol riot he did nothing to deter his supporters from storming the building and tried to leverage their actions by further obstructing the certification of the 2020 election result indeed that day was the culmination of the defendant s criminal conspiracies to overturn the legitimate results of the presidential election when the defendant directed a large and angry crowd one that he had summoned to washington dc and fueled with knowingly false claims of election fraud to the capitol to obstruct the congressional certification proceeding molly gaston a member of smith s team wrote the special counsel s office also contested trump s claims of selective and vindictive prosecution saying the former president s arguments are based on nothing more than spurious allegations contrived from two newspaper articles citing anonymous sources they add that while trump claims he is singled out the events he is alleged to have taken part in are quite extraordinary if the defendant is correct in his claim that the indictment is unprecedented it is only because the defendant s conduct is unprecedented prosecutor thomas windom said trump had previously tried to get the charges dismissed citing presidential immunity judge tanya chutkan has yet to rule on that motion apart from this case the former president has been indicted for his efforts to undo the 2020 election in georgia his alleged mishandling of classified documents after leaving the white house and his role in a hush money payment scheme involving adult film actress stormy daniels on monday trump took the witness stand in a civil fraud case in new york which could threaten his control of his real estate empire that thrust him into the spotlight and the white house despite his legal challenges trump remains the front runner in the republican presidential primary leading his opponents by double digits 
https://www.huffpost.com/entry/joe-scarborough-stop-it-biden-attack-trump_n_654a4e95e4b0e3ecaf8afcd8,Joe Scarborough Yells 'Stop It!' At Biden Administration In Campaign Lecture,Politics,"The fed-up ""Morning Joe"" host had brief, blunt advice for the folks behind Biden's reelection bid.",Ron Dicker,2023-11-07 00:00:00, got fighting mad tuesday that campaign advisers are telling president not to attack former president the morning joe host even put up his dukes old style to illustrate how fighting by the rules simply won t work against trump whoever inside the white house is telling not to attack stop it scarborough barked seriously stop it you re costing the president you really are scarborough continued you re costing him points this is a political battle to the end donald trump is trying to destroy joe biden trump now leads biden according to a new york times poll and former obama campaign architect david axelrod suggested a few days ago that scarborough saw a way for biden to fight back and that was to fight no holds barred and yet they re still trying to debate do we play nice in this campaign or do we actually take it to a guy that stole nuclear secrets has been accused of being a rapist by a new york judge and has 91 felony counts against him he said it s not hard i don t think this is hard and i m not sure who inside the white house is making this hard 
